Student ID,Subject Grade,Study Hours per Day,Lecture Attendance,Assignment Completion on Time,CGPA / GPA,Note-Taking Method,Study Schedule,Best Study Method
17,C+,1 - 2 hours,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
18,A,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
19,B-,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
20,C,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),2.0 – 2.5,I rely only on class slides,I study randomly most of the time,No specific method – varies each time
21,A+,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
22,B+,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
23,C,1 - 2 hours,Sometimes(50 - 74%),Rarely (25 - 49%),2.0 – 2.5,I mostly rely on class slides,I do not follow any schedule at all,"Using online resources (e.g., YouTube, MOOCs)"
24,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying in groups
25,A-,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Studying alone (self-study)
26,Below C-,Less than 1 hour,Never(0%),Rarely (25 - 49%),Below 2.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
27,C+,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
28,B,2 - 4 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
29,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
30,C,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
31,B-,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
32,A-,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Attending revision classes or extra tutorials
33,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
34,C-,Less than 1 hour,Rarely (25 - 49%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
35,A,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
36,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
37,C+,1 - 2 hours,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
38,Below C-,Less than 1 hour,Very rarely (1 - 24%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
39,A-,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
40,B-,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
41,A,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Studying alone (self-study)
42,C-,1 - 2 hours,Rarely (25 - 49%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
43,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,"Using online resources (e.g., YouTube, MOOCs)"
44,C,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
45,A,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
46,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
47,C+,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Studying in groups
48,A-,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
49,B-,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Attending revision classes or extra tutorials
50,C-,Less than 1 hour,Rarely (25 - 49%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
51,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
52,B+,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I take notes and refer to slides equally,I always follow a fixed study schedule,Practicing with past papers or questions
53,C,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
54,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying in groups
55,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
56,Below C-,Less than 1 hour,Very rarely (1 - 24%),Sometimes (50 - 74%),Below 2.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
57,C+,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
58,B-,2 - 4 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
59,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
60,C-,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
61,B,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
62,A,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Attending revision classes or extra tutorials
63,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
64,C,Less than 1 hour,Rarely (25 - 49%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
65,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
66,B-,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
67,C+,1 - 2 hours,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
68,Below C-,Less than 1 hour,Very rarely (1 - 24%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
69,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
70,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
71,A-,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Studying alone (self-study)
72,C,1 - 2 hours,Rarely (25 - 49%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
73,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,"Using online resources (e.g., YouTube, MOOCs)"
74,C-,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
75,A+,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
76,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
77,C+,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Studying in groups
78,A-,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
79,B-,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Attending revision classes or extra tutorials
80,C,Less than 1 hour,Rarely (25 - 49%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
81,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
82,B+,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I take notes and refer to slides equally,I always follow a fixed study schedule,Practicing with past papers or questions
83,C-,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
84,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying in groups
85,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
86,Below C-,Less than 1 hour,Very rarely (1 - 24%),Sometimes (50 - 74%),Below 2.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
87,C+,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
88,B-,2 - 4 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
89,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
90,C,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
91,B,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
92,A,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Attending revision classes or extra tutorials
93,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
94,C-,Less than 1 hour,Rarely (25 - 49%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
95,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
96,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
97,C+,1 - 2 hours,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
98,Below C-,Less than 1 hour,Very rarely (1 - 24%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
99,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
100,B-,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
101,A-,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Studying alone (self-study)
102,C,1 - 2 hours,Rarely (25 - 49%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
103,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,"Using online resources (e.g., YouTube, MOOCs)"
104,C-,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
105,A,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
106,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
107,C+,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Studying in groups
108,A-,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
109,B-,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Attending revision classes or extra tutorials
110,C,Less than 1 hour,Rarely (25 - 49%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
111,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
112,B+,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I take notes and refer to slides equally,I always follow a fixed study schedule,Practicing with past papers or questions
113,C-,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
114,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying in groups
115,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
116,Below C-,Less than 1 hour,Very rarely (1 - 24%),Sometimes (50 - 74%),Below 2.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
117,C+,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
118,B-,2 - 4 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
119,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
120,C,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
121,B,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
122,A+,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
123,C-,Less than 1 hour,Rarely (25 - 49%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
124,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying in groups
125,A-,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Studying alone (self-study)
126,Below C-,Less than 1 hour,Never(0%),Rarely (25 - 49%),Below 2.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
127,C+,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
128,B,2 - 4 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
129,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
130,C,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
131,B-,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
132,A-,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Attending revision classes or extra tutorials
133,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
134,C-,Less than 1 hour,Rarely (25 - 49%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
135,A,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
136,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
137,C+,1 - 2 hours,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
138,Below C-,Less than 1 hour,Very rarely (1 - 24%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
139,A-,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
140,B-,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
141,A,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Studying alone (self-study)
142,C,1 - 2 hours,Rarely (25 - 49%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
143,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,"Using online resources (e.g., YouTube, MOOCs)"
144,C-,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
145,A,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
146,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
147,C+,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Studying in groups
148,A-,2 - 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
149,B-,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Attending revision classes or extra tutorials
150,C,Less than 1 hour,Rarely (25 - 49%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
151,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
152,B+,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I take notes and refer to slides equally,I always follow a fixed study schedule,Practicing with past papers or questions
153,C-,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
154,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying in groups
155,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
156,Below C-,Less than 1 hour,Very rarely (1 - 24%),Sometimes (50 - 74%),Below 2.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
157,C+,1 - 2 hours,Often (75 - 99%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
158,B-,2 - 4 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
159,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
160,C,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
161,B,1 - 2 hours,Sometimes(50 - 74%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
162,A,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Attending revision classes or extra tutorials
163,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,Studying alone (self-study)
164,C-,Less than 1 hour,Rarely (25 - 49%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
165,A-,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
166,B,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I study randomly most of the time,Studying alone (self-study)
167,C+,1 - 2 hours,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I mostly rely on class slides,I study randomly most of the time,"Using online resources (e.g., YouTube, MOOCs)"
168,Below C-,Less than 1 hour,Very rarely (1 - 24%),Rarely (25 - 49%),2.0 – 2.5,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
169,A,2 - 4 hours,Always(100%),Always (100%),3.0 – 3.5,I mostly take my own notes,I usually follow a schedule but adjust it occasionally,Practicing with past papers or questions
170,B-,1 - 2 hours,Often (75 - 99%),Often (75 - 99%),2.5 – 3.0,I take notes and refer to slides equally,I study randomly most of the time,Studying in groups
171,A-,2 - 4 hours,Often (75 - 99%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Studying alone (self-study)
172,C,1 - 2 hours,Rarely (25 - 49%),Sometimes (50 - 74%),2.0 – 2.5,I mostly rely on class slides,I study randomly most of the time,Reading class slides and textbooks only
173,B+,2 - 4 hours,Always(100%),Often (75 - 99%),3.0 – 3.5,I take notes and refer to slides equally,I usually follow a schedule but adjust it occasionally,"Using online resources (e.g., YouTube, MOOCs)"
174,C-,Less than 1 hour,Sometimes(50 - 74%),Sometimes (50 - 74%),2.5 – 3.0,I rely only on class slides,I do not follow any schedule at all,No specific method – varies each time
175,A+,more than 4 hours,Always(100%),Always (100%),Above 3.5,I mostly take my own notes,I always follow a fixed study schedule,Practicing with past papers or questions
